block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
14763348,178,213,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xe54d93d71af119a636c8d21c9949899b78ae8e8a54e0e9421dadf6c420966df9,0xadaa1dd6aa3be9380683c5692ffb707ba9e33a6103e5ea0c819122192f1b3125,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,8340000000000,26,1652389846
14763348,481,535,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xe54d93d71af119a636c8d21c9949899b78ae8e8a54e0e9421dadf6c420966df9,0x49b05157905246570e476e5ce9086fcdf4d201a9c5e86f79f1873a49b543ea92,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,8109894473530,27,1652389846
14763351,49,105,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xe810105f9cfcbd82a935d71709fd1f79bbacac09e1e18ab62db66e778a005ca9,0x59b62382d38868da17c5b00cd5c2cd26015305de2545d62c1ad19ac0f07f0b07,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,8775944019878,28,1652389943
14763353,202,368,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x437d1856cdeb06ae9fa5f8a5bd373bda442e85d79a663fbe7acb1d1bc4d8263e,0xd44358da7e57ab029b6f1544aad433e362b55fd713362f39b928ff4ef93282fe,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,8582674974061,29,1652389958
14763356,33,16,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x3fd5b7a67a969774e168c493b74cda926b380a7369f6f5caa95b2278e1658ff2,0x481f8efd514534ec37adc807c45ca724069dc9ce1a74f12091e71a3095868aae,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,8186437593902,30,1652390000
14763368,65,170,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xdd002d26eda730ae484181ea372ca953cd00e112af703dffd7e96035b7a65e86,0x1fee70eb1406c28805bc70041cbcdd835daa5cc7df5f7dab62c9a62f3bcaa4c2,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,7712836900560,31,1652390085
14763369,414,621,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x14e2a93c271ffd53574aea3210135b7773e1afd2c6a9392d82ab83af7dd84395,0xe2b9feabbe5a34f3031e8ffa48b25d2380fe53951155bd2b30e24677fa904973,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,6711394436323,32,1652390096
14763374,79,198,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x44deb6bafb98353db2f2011fa8370a63c470a9f8683cfed646cabdf0d3c0b9be,0xea59398ceb67bded21a67500c4b79c9e3de629e9fd59c3411f24b6ba4d50594b,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,7890000000000,33,1652390182
14763383,43,35,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xf903acfa9bf3e22ce1f78e6d719b0a7cbd3e9ffbecb0c7d5c05c17fe3e855a2b,0xbce25f85a27692e5e5bc1b5b25cc20b0983f1f959ab4c9f55b07dfa409883531,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,6784927749409,34,1652390246
14763385,268,383,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xb0d86e24ba9926f9e867e604495b11a61504ca15a0cf4eaa06a2543b5aab2346,0x18da67d8397ecb696b00f9043a5a9e9a3ea6cc76ab35caa878aabd144477bd01,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,6398924378194,35,1652390298
