block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
14736760,55,93,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x9e41f2d2dc49922536e044df73a115c5e806aa51893d4ae276cdd63687cf76a1,0x036e64e7ad86ee81f7d7f80812c0d67b135bc47da5ee2bce111d5cec029302be,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25591069442376622,1316,1652022290
14737066,100,100,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x96cf143495169b29b377b93374f6d53bb8a7000f5a3f9f83e126093d4b8229b0,0x03cfa84865e2c02dc56d6ebd6a54f040ba3cf473524460c57ffd5a6f22061aa4,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,26158317032198466,1317,1652026551
14737290,24,38,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xb7056e953b83a5e7ee64d83c8e51b9d9b07002355417f24367888ddda0936b01,0xbae60ee9ff19afe774758e6f59b7b4d4940253b00f295f29d96b0370753199e2,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25588088248924324,1318,1652029616
14737662,11,46,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xf0dc5c50f4820ae4ca46b79d89f91c7435305d9c1bf50f9b737f434dda076f6e,0x9f4571ec258dfb25f273d2dc8bc8958d9fb7faecbab34b13920acac7da8de87f,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,26309161176572450,1319,1652034403
14738134,180,175,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xc18da98b11c766a9685154b0390419dbcca5e98c1c34abc999f82feab7105ff1,0x1d875f47dc06655bef1f8758a4b97900396dc3e158ccd5c76b9033621b8e5aaf,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25774104258374633,1320,1652040714
14739536,178,291,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xdc5a9ca40088a5bf6c091bfccc9b3ff73c9cf191129d93e49bb05cb80ecb4071,0xee10cb7115f05472570328d6ba0cf470e3fab267381d36e579cae9b8964945c6,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25242119000000000,1321,1652060026
14739768,103,156,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x800f2087e5e9ba9fda26ce384b861aa47dfc174afc52486f5b0e1f49ea87da4f,0x968f4e18df6cd6c05e06aace35d19606b24cfe1cde87090643b0e6ae126331de,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24721875438828332,1322,1652063027
14740228,292,343,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xdb0ff8219991a6fa497053fa35f874d0c6acbd5049609010f4423f7cbeffe27b,0x331fb90bb971a9303806cf4abbd606a3a15052103b156d5c1f46ac7abeedfe1e,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25229388000000000,1323,1652069352
14742317,3,6,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x2274c66d87d0680e498c1cf958babd2a3cbcee09aa22235e834e937043b190f3,0x84061291d76cf845e1390a4ee9d1f342eca6dbd963426a214465cab4186ab52a,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24721148605639020,1324,1652097820
14743229,211,238,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x3912a611c95513665f7123d86a0bbb64ddebd3b79c71e08c8da6bb3ab6d31997,0x511853a834b9ddee260ae70c06b8fe52f6c724571025068f1bd83936287871d6,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24218282745410110,1325,1652111140
14743354,169,305,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xd3969ae6caa312ee0c2c43043bb9abe3466e6d66bc5f7d2cfe772175d53222a5,0x9e10335aef3284ba3ca8ef1da3716521565a44f84ded09532e7c19a6f242c4a3,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,23720887000000000,1326,1652112878
14743361,271,199,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x7138dcd08b59ade999c242e5d69293ef8861d4532943e290467afc1fcb89eb47,0x05973dca34dee6ebfcbc1954688e81299603365a213f35e8b31ec708919f9aaf,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,23727604000519237,1327,1652113014
14743485,146,193,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x96ccb5c00b67dc8b4b7cdd9982409e07b01a74e1301eb387b2b00b8b4740a4b8,0xd6394e9137034734b082cdddb40c861dd2068ea586bfe37815b049140418712d,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,23104816613831945,1328,1652114829
14743723,32,50,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x2da4c05863205dc4244d9f1ee238398cf929e15122566b1bae9b71cda712fb76,0x454db8778e5c57a8db77d46253551cd2ffa824383db6b9dc86e4b100470d9da9,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,22609507712870094,1329,1652118142
14743847,272,442,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x483112682cb5a2064cb7b710ea9df75177fe1c87bf5ed1098aed561e854df701,0x25af30e8ae42ab0239d08f3d0d135fa98d1c1a9cb1b0e95c0fa4db596677bbc7,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,22152420000000000,1330,1652119912
14743900,88,165,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x023afb0a8637c18a3f666de44232b5eab5a9fef33c823961a839e7faf2bed1de,0xfae722b688d922658fc68ab37714c6ca55e4df9a0359234a2cbb02a616e37807,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,21410795000000000,1331,1652120633
14743930,10,57,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x04562e6eee31da5b489611a246fe608acc0204f21719d0206e94ae52ad9d2ada,0xb0d7caeea57a089d1e7fd6498f14fc4943bad552654fab34262f1ec06e6461a7,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20964060687850630,1332,1652120938
14743960,141,201,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x9bf05cddd2ae36325b98f08c6222d193161fc34d2ddc5512b764292df7f5d64f,0x640db5b92d4173b183f14f5dda7dec0945150b44bb162080d2259a881f400be3,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20358769261667554,1333,1652121284
14743994,105,290,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x9c2de8870125db9e0a94f4119fa677bd4d34cf9c5374c6acb20cb4fae54b2789,0x4826a7409e8af059a636b5eefc0bc6359fe7a830b22f7c61eea86414ad3079b6,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,19905727735654726,1334,1652121792
14744023,183,424,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xc2aef266250c50ba753e2949f0708ee2724da228289c8bd0318beea9351483f1,0x94e4c4aef94e263849158ede2a0e61d8cfa8a93b56c46510a27dea3292e12c04,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20403559273203175,1335,1652122140
14744062,147,183,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x07d3b31534408d923f35f785f9b59eb9977be34466c4ce25ac1f9a2043b4ff4f,0x77ac286aebb99932e6e84d3f5660d5692d68e0bae9bac1edd5e6b749bbc8d8c0,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20825037000000000,1336,1652122774
14744107,34,75,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x60f4ac25ebb9f45f88ada339113657351cffacb38532e595097b4ffb2480a261,0xacc816d03c69e34398198649a532ea563a01df5c6bcb84214d870c4f08fc3288,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20319346810913160,1337,1652123354
14744140,109,195,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x3555a4c6d63f186891b6889175372025749c7961c9dba8869a947b0a982b8820,0xbb0d582ccfdaa678d8872886626d00ea84be0d6239143ad44aa30c216d80364f,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20729751781050056,1338,1652123774
