block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
16534698,59,141,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x2873173382d74381e90f4b86ea33d58d35b1bb003bf5cd72a7e17f78ef48b89a,0x2db4213ba90c907b795802e9af713a4e6662c02a3e2496f606b32a25634841fb,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,158719000000,40732,1675263335
16534742,115,224,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xcc08966cb1cf283bebb4b986c14da44b16173d87291c06c7b2f6eb5a93aa866d,0x7a56d26f5af049cb99ff334c19fe6718ab6b923ec2665a99c27dca79454a67bf,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157901000000,40733,1675263875
16534995,111,205,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xe27ddf9f0c1089956eed285897b57637655e56907bb1030346d8d9a59713ea8b,0x2c1a1255bf67e4dade04d716aea885f0c91dfbe787f3414d8ffcd865bdce483a,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157619021000,40734,1675266947
16535292,32,97,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xb340b5af1a921cafb860e47580817f990b9aee3de9d5614be6982582fe683fc6,0x1c33a87bbfb0823ab3458475e6aa20fd7d03f66c833aeaae47bacf955389c998,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157455130000,40735,1675270535
16535592,42,172,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xb4b73f80a0d4acc2782f957707c499a8483509a36df47f0e7bc133675aae3839,0x9d90fe3cb799b745e5198f1be993d228332f9c63bdaeb7d6820cf5ace390e48c,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157035849172,40736,1675274135
16535762,92,192,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xf2cb92f37a9e0ea4757c385aed7da5b0bcb87c8b47fa25cdf8f4819a9a613875,0x4b0f9cc5545b2b0e14d0de36360f9612aaac6a37a14146c540bfb21f3f81c2d6,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157874410000,40737,1675276175
16535891,65,193,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x419bf9373812072d44341bdb74d026b6a4f90f20a1abb7be28903a0820199891,0xbfd058f2f805b41942b5206768851f1f1704bd96a074b6744b2f16cdea038958,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157808190000,40738,1675277735
16535923,104,242,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xae2eae9cb75cb59256d3f9ed7d4cb15645cca480c55853615d36be63c42e7f34,0xe4ea3366534b140456e25c38b1174ec2833e140c1a809758f8b03dab31df5917,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,158750000000,40739,1675278119
16535933,142,250,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x6c97994c81a08d85c4c1bd1f24465ba1a7a65b8de7ccfe9084e1abc4cdc0a3ec,0xd2c68ff7f939f199afdb37209048d234ccdd623de0a6b58ba87ffb86796d1dfd,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157734944000,40740,1675278239
16536076,117,314,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x221d5e6ded9d272a1792a45b43854c04aba87776ab07da73873049a0a104fbc6,0xd53803db13db4a98feba18bc1157911fbe31229655e8c18190a18c1381c8ee7f,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,156798414932,40741,1675279955
